experimental_rank,model_id,kd_nm,boltz_affinity_pred_value,boltz_rank_within_full_set,task5_existing_global_rank
138.0,UTEXAS_10001003_R1046,34.5,-0.7142900228500366,89.0,117
139.0,UTEXAS_10001423_R1476,36.0,-0.6491827964782715,101.0,134
140.0,UTEXAS_10001102_R1145,37.6,-0.5191503763198853,121.0,159
141.0,UTEXAS_10001424_R1477,38.0,2.550051689147949,293.0,410
142.0,UTEXAS_10000639_R671,39.0,-1.2259283065795898,41.0,49
143.0,UTEXAS_10000153_R168,42.0,2.354882001876831,291.0,407
144.0,UTEXAS_10000767_R801,42.7,0.6099565625190735,239.0,333
145.0,UTEXAS_10001265_R1309,43.59,0.5658215880393982,237.0,330
146.0,UTEXAS_10000882_R921,44.0,-0.09627607464790344,171.0,229
147.0,UTEXAS_10001224_R1268,47.0,2.309566020965576,290.0,406
148.0,UTEXAS_10001133_R1176,48.29,0.17282962799072266,199.0,274
149.0,UTEXAS_10001132_R1175,50.45,-0.11187830567359924,169.0,226
150.0,UTEXAS_10001225_R1269,51.36,1.7668719291687012,280.0,391
151.0,UTEXAS_10001152_R1196,51.46,-0.5182894468307495,122.0,160
152.0,UTEXAS_10001185_R1229,52.7,-1.0113933086395264,57.0,72
153.0,UTEXAS_10001183_R1227,54.22,-0.44844186305999756,135.0,175
154.0,UTEXAS_10001312_R1356,55.0,0.2511269152164459,205.0,288
155.0,UTEXAS_10001331_R1375,56.45,0.5045835971832275,229.0,321
156.0,UTEXAS_10000578_R607,56.7,0.45200493931770325,222.0,312
157.0,UTEXAS_10000659_R691,56.84,0.40832164883613586,217.0,304
158.0,UTEXAS_10001055_R1098,56.9,-0.6555432081222534,99.0,132
159.0,UTEXAS_10000580_R609,59.0,0.5156474709510803,231.0,323
160.0,UTEXAS_10000371_R393,60.0,-1.3424357175827026,27.0,33
161.0,UTEXAS_10001370_R1418,60.06,-0.786569356918335,81.0,104
162.0,UTEXAS_10000579_R608,65.5,-0.006098300218582153,181.0,246
163.0,UTEXAS_10001266_R1310,66.55,-0.3818281292915344,141.0,183
164.0,UTEXAS_10001090_R1133,68.5655,0.35432538390159607,213.0,300
165.0,UTEXAS_10000768_R802,69.277,1.0504292249679565,263.0,365
166.0,UTEXAS_10000961_R1002,73.3,0.5532448887825012,235.0,328
167.0,UTEXAS_10000918_R959,77.0,-0.04846423864364624,176.0,238
168.0,UTEXAS_10000700_R732,78.2,-0.04011433571577072,177.0,239
169.0,UTEXAS_10001134_R1177,85.02,-0.8007135391235352,79.0,102
170.0,UTEXAS_10000577_R606,85.2,-6.0558319091796875e-05,182.0,247
171.0,UTEXAS_10000063_R67,87.0,-0.27112698554992676,160.0,207
172.0,UTEXAS_10000061_R63,88.0,-0.4976765811443329,127.0,165
173.0,UTEXAS_10000790_R824,90.4,-0.8406322002410889,73.0,95
174.0,UTEXAS_10000769_R803,94.228,0.9897914528846741,262.0,364
175.0,UTEXAS_10000764_R798,100.64,1.237412929534912,268.0,375
176.0,UTEXAS_10000701_R733,101.2,1.2874391078948975,269.0,376
177.0,UTEXAS_10001167_R1211,101.62,-0.027658045291900635,178.0,240
178.0,UTEXAS_10000697_R729,102.0,0.3444759249687195,211.0,298
179.0,UTEXAS_10000770_R804,104.265,0.9723586440086365,261.0,363
180.5,UTEXAS_10001011_R1054,110.0,-0.482300728559494,129.0,169
180.5,UTEXAS_10000999_R1042,110.0,1.3240809440612793,271.0,378
182.0,UTEXAS_10000751_R783,111.0,0.6234994530677795,240.0,334
183.5,UTEXAS_10000005_R7,112.5,1.5137622356414795,278.0,385
183.5,UTEXAS_10000004_R6,112.5,2.8431596755981445,300.0,417
185.0,UTEXAS_10001196_R1240,118.0,-1.206350564956665,42.0,50
186.0,UTEXAS_10000615_R647,122.0,-0.6874830722808838,93.0,123
187.0,UTEXAS_10000150_R165,126.0,1.8557499647140503,282.0,394
188.0,UTEXAS_10001371_R1419,128.8,-1.2380672693252563,40.0,48
189.0,UTEXAS_10000766_R800,148.73,0.724682092666626,246.0,343
190.0,UTEXAS_10000393_R415,164.0,0.42282405495643616,221.0,309
191.0,UTEXAS_10000765_R799,166.34,0.9454970359802246,260.0,362
192.0,UTEXAS_10000290_R312,175.0,-1.2419410943984985,38.0,46
193.0,UTEXAS_10001297_R1341,177.0,1.8445616960525513,281.0,393
194.0,UTEXAS_10001331_R1376,180.0,0.5228760838508606,232.0,324
195.0,UTEXAS_10000791_R825,186.0,-1.4480654001235962,22.0,26
